section,slug,original_name,cleaned_name,source
beisen,jouav,纵横股份,纵横股份,unchanged
beisen,jsboth,柏诚系统科技股份有限公司,柏诚系统科技股份有限公司,unchanged
beisen,jsgian,精研科技,精研科技,unchanged
beisen,jssoft,金山云,金山云,unchanged
beisen,jtxzspace,苏州吉天星舟空间技术有限公司,苏州吉天星舟空间技术有限公司,unchanged
beisen,jusha,巨鲨医疗校园招聘门户,巨鲨医疗,table
beisen,jxepdipowerchina,电建江西院,电建江西院,unchanged
beisen,jxrt,融通供应链招聘门户,建信融通,table
beisen,jzfz,基准方中,基准方中,unchanged
beisen,kaijin2,凯金,凯金,unchanged
beisen,kaiquanhr,凯泉,凯泉,unchanged
beisen,kangni,南京康尼机电股份有限公司,南京康尼机电股份有限公司,unchanged
beisen,kdgcsoft,科大国创股份有限公司招聘门户,科大国创股份有限公司,strip
beisen,kemen,陈克明食品股份有限公司,陈克明食品股份有限公司,unchanged
beisen,kengic,科捷智能招聘门户,科捷智能,table
beisen,kewell,科威尔,科威尔,unchanged
beisen,king-eagle,晶易医药,晶易医药,unchanged
beisen,kingmed,广州金域医学检验中心有限公司,广州金域医学检验中心有限公司,unchanged
beisen,kjgb,高标,高标,unchanged
beisen,kkguan,KK集团,KK集团,unchanged
beisen,kniulink,牛芯半导体企业,牛芯半导体企业,unchanged
beisen,kunlunxin1,昆仑芯招聘门户,昆仑芯,table
beisen,kwmcareer,金杜,金杜,unchanged
beisen,lcgljt,绿城房地产建设管理集团有限公司,绿城房地产建设管理集团有限公司,unchanged
beisen,ldrobot,乐动机器人,乐动机器人,unchanged
beisen,leapsightech,LST,LST,unchanged
beisen,lecarc,希奥端,希奥端,unchanged
beisen,leedarson,立达信物联科技,立达信物联科技,unchanged
beisen,leetx,砺星工业科技,砺星工业科技,unchanged
beisen,leoking,朗坤科技,朗坤科技,unchanged
beisen,lgmg,临工重机,临工重机,unchanged
beisen,lianheguangdian,中山联合光电科技股份有限公司,中山联合光电科技股份有限公司,unchanged
beisen,linkhou,灵猴机器人2027,灵猴机器人,table
beisen,linshimuye,LINSY 林氏,LINSY 林氏,unchanged
beisen,lisen,深圳市李森智能有限公司,深圳市李森智能有限公司,unchanged
beisen,liteon,光寶新創校園招募,光寶新創校園招募,unchanged
beisen,liyi99,礼意久久,礼意久久,unchanged
beisen,liyuanheng,利元亨,利元亨,unchanged
beisen,lngzl,广之旅,广之旅,unchanged
beisen,lockin,鹿客科技,鹿客科技,unchanged
beisen,longsys,江波龙,江波龙,unchanged
beisen,lopal,龙蟠科技,龙蟠科技,unchanged
beisen,lsjyzp,湖北绿色家园材料技术股份有限公司,湖北绿色家园材料技术股份有限公司,unchanged
beisen,luxpowertek,鹏城新能,鹏城新能,unchanged
beisen,luxshare-tech,立讯技术,立讯技术,unchanged
beisen,lxjchina1,安徽老乡鸡餐饮有限公司,安徽老乡鸡餐饮有限公司,unchanged
beisen,maxio-tech1,联芸科技,联芸科技,unchanged
beisen,medcaptain,麦科田医疗,麦科田医疗,unchanged
beisen,mediatek,联发科技,联发科技,unchanged
beisen,megarobo,镁伽,镁伽,unchanged
beisen,metapwr,沛塬电子,沛塬电子,unchanged
beisen,microsatehr,卫星创新院人才,卫星创新院人才,unchanged
beisen,milesight,厦门星纵物联,厦门星纵物联,unchanged
beisen,mingshiim,鸣石私募基金,鸣石私募基金,unchanged
beisen,minospace,微纳星空,微纳星空,unchanged
beisen,molchip,眸芯,眸芯,unchanged
beisen,morningfast,雷特科技,雷特科技,unchanged
beisen,mornsun,广州金升阳科技有限公司,广州金升阳科技有限公司,unchanged
beisen,mova,MOVA,MOVA,unchanged
beisen,mthreads,摩尔线程招聘门户,摩尔线程,table
beisen,myfund,明毅私募基金管理有限公司,明毅私募基金管理有限公司,unchanged
beisen,nationalchip,国芯微nationalchip,国芯微nationalchip,unchanged
beisen,nawaa,南华期货,南华期货,unchanged
beisen,newland,新大陆科技集团,新大陆科技集团,unchanged
beisen,newlandpayment,新大陆支付技术,新大陆支付技术,unchanged
beisen,nexchip,合肥晶合集成电路股份有限公司,合肥晶合集成电路股份有限公司,unchanged
beisen,ninestar,纳思达,纳思达,unchanged
beisen,nlscan,新大陆自动识别,新大陆自动识别,unchanged
beisen,noposion,诺普信,诺普信,unchanged
beisen,nrec1,北森平台-博瑞电力招聘专场,博瑞电力,table
beisen,nwh,电建西北院,电建西北院,unchanged
beisen,nyocor,金开新能,金开新能,unchanged
beisen,obiosh,招聘公众号,和元生物,table
beisen,oetsky,格蓝若,格蓝若,unchanged
beisen,olight,傲雷集团,傲雷集团,unchanged
beisen,olo-home,南京我乐家居股份有限公司,南京我乐家居股份有限公司,unchanged
beisen,orienspace,东方空间,东方空间,unchanged
beisen,orientcable,东方电缆,东方电缆,unchanged
beisen,oseasy,噢易云,噢易云,unchanged
beisen,ovt-omnivision,豪威科技（上海）有限公司,豪威科技（上海）有限公司,unchanged
beisen,paratera,并行集团,并行集团,unchanged
beisen,pcgpower,碧澄能源,碧澄能源,unchanged
beisen,peninsulalaser,半岛医疗,半岛医疗,unchanged
beisen,piotech,拓荆科技,拓荆科技,unchanged
beisen,pmish-tech,上海精测招聘门户,上海精测半导体,table
beisen,polyton,普力通,普力通,unchanged
beisen,porton,博腾制药,博腾制药,unchanged
beisen,pret,普利特,普利特,unchanged
beisen,pudutech,普渡机器人,普渡机器人,unchanged
beisen,pxjydl1,大连科苑同芳,大连科苑同芳,unchanged
beisen,qiaodantiyu,中乔体育股份有限公司,中乔体育股份有限公司,unchanged
beisen,qiaqiafood,洽洽食品股份有限公司,洽洽食品股份有限公司,unchanged
beisen,qingmutec,青木科技,青木科技,unchanged
beisen,qleltd1,渠梁电子有限公司,渠梁电子有限公司,unchanged
beisen,qwkj,齐物科技,齐物科技,unchanged
beisen,rayhoo,瑞鹄股份,瑞鹄股份,unchanged
beisen,raytrontek,睿创微纳,睿创微纳,unchanged
beisen,realhom,永业行,永业行,unchanged
beisen,renfu,人福医药,人福医药,unchanged
beisen,richsys1,无锡理奇,无锡理奇,unchanged
beisen,rifengdz,日丰,日丰,unchanged
beisen,ringpu1,瑞普生物股份有限公司,瑞普生物股份有限公司,unchanged
beisen,risun,旭阳集团,旭阳集团,unchanged
beisen,riyue,日月股份,日月股份,unchanged
beisen,robotphoenix,翼菲科技,翼菲科技,unchanged
beisen,roe,雷迪奥ROE,雷迪奥ROE,unchanged
beisen,ronbay,容百集团,容百集团,unchanged
beisen,ruiinsurance,瑞众人寿保险有限责任公司,瑞众人寿保险有限责任公司,unchanged
beisen,ruyifilm,儒意电影,儒意电影,unchanged
beisen,rwdls,瑞沃德,瑞沃德,unchanged
beisen,ryytn,认养一头牛驿站,认养一头牛驿站,unchanged
beisen,sacavic,沈阳飞机工业,沈阳飞机工业,unchanged
beisen,safeglp,赛赋医药,赛赋医药,unchanged
beisen,saicmaxus,上汽大通汽车有限公司,上汽大通汽车有限公司,unchanged
beisen,sailuntire,赛轮集团,赛轮集团,unchanged
beisen,sanhome,南京圣和药业股份有限公司,南京圣和药业股份有限公司,unchanged
beisen,sansec,三未信安,三未信安,unchanged
beisen,sansurehr,圣湘生物科技股份有限公司,圣湘生物科技股份有限公司,unchanged
beisen,satlpec,卫星化学股份有限公司招聘网申,卫星集团,table
beisen,scc,深南电路,深南电路,unchanged
beisen,sddmsh,东明石化,东明石化,unchanged
beisen,seif1,赛夫集团2026校招,赛夫集团,table
beisen,semi,赛美特招聘门户,赛美特集团,table
beisen,senci,对外招聘门户,神驰机电,table
beisen,servotronix,苏州高创运动控制技术有限公司,苏州高创运动控制技术有限公司,unchanged
beisen,sf-auto,北京四方继保自动化股份有限公司,北京四方继保自动化股份有限公司,unchanged
beisen,sfcc,日出集团,日出集团,unchanged
beisen,sgm,上汽通用汽车有限公司,上汽通用汽车有限公司,unchanged
beisen,sgssemi,盛吉盛,盛吉盛,unchanged
beisen,shangraoyinhang,上饶银行,上饶银行,unchanged
beisen,shengquan,圣泉集团,圣泉集团,unchanged
beisen,shenlan1,深蓝航天-2027届校园,深蓝航天,table
beisen,shining3d,先临三维,先临三维,unchanged
beisen,shrcb,上海农村商业银行股份有限公司,上海农村商业银行股份有限公司,unchanged
beisen,shsus,康恒环境,康恒环境,unchanged
beisen,sifary,赛乐医疗,赛乐医疗,unchanged
beisen,siglent,鼎阳科技,鼎阳科技,unchanged
beisen,siic,上实集团招聘门户,上实集团,table
beisen,sinder,信得科技,信得科技,unchanged
beisen,sinocera1,国瓷材料招聘门户,国瓷材料,table
beisen,sjphotons1,仕佳光子,仕佳光子,unchanged
beisen,sklinter,宁波赛柯国际贸易有限公司,宁波赛柯国际贸易有限公司,unchanged
beisen,smbccn,三井住友银行（中国）有限公司,三井住友银行（中国）有限公司,unchanged
beisen,smee,上海微电子装备有限公司,上海微电子装备有限公司,unchanged
beisen,snowman,福建雪人集团股份有限公司,福建雪人集团股份有限公司,unchanged
beisen,snowvalleyfood,雪川农业集团,雪川农业集团,unchanged
beisen,sosen,深圳市崧盛电子股份有限公司,深圳市崧盛电子股份有限公司,unchanged
beisen,southsurvey,南方测绘集团,南方测绘集团,unchanged
beisen,spacestar,航天恒星,航天恒星,unchanged
beisen,sph,上海医药人才,上海医药人才,unchanged
beisen,spicqyxdl,上海启源芯动力科技有限公司,上海启源芯动力科技有限公司,unchanged
beisen,spinq,量旋科技,量旋科技,unchanged
beisen,sprixin,国能日新,国能日新,unchanged
beisen,srhino,石犀科技,石犀科技,unchanged
beisen,ss-smartech,深圳市尚水智能股份有限公司,深圳市尚水智能股份有限公司,unchanged
beisen,stonkam,广州敏视,广州敏视,unchanged
beisen,streamax,锐明技术,锐明技术,unchanged
beisen,stronglaser,东莞市盛雄激光先进装备股份有限公司,东莞市盛雄激光先进装备股份有限公司,unchanged
beisen,suna-opto,苏纳SUNA,苏纳SUNA,unchanged
beisen,sunrui,双瑞环境,双瑞环境,unchanged
beisen,sunseed,希夕智能-校招,希夕智能,table
beisen,swaysure,昇维旭,昇维旭,unchanged
beisen,syamt,富创精密,富创精密,unchanged
beisen,szgas,深圳燃气,深圳燃气,unchanged
beisen,szly,联友科技,联友科技,unchanged
beisen,sznari,长园深瑞继保自动化有限公司,长园深瑞继保自动化有限公司,unchanged
beisen,t-ray,天锐星通招聘门户,天锐星通,table
beisen,taoliweilai,桃李未来,桃李未来,unchanged
beisen,tdhx,天地和兴,天地和兴,unchanged
beisen,techen,青岛乾程科技股份有限公司,青岛乾程科技股份有限公司,unchanged
beisen,tengen,天正电气,天正电气,unchanged
beisen,tetelaser,深圳泰德激光招聘门户,泰德激光,table
beisen,tfcsz,天孚通信招聘门户,天孚通信,table
beisen,tgood,特锐德,特锐德,unchanged
beisen,thupdi,北京清华同衡规划设计研究院有限公司,北京清华同衡规划设计研究院有限公司,unchanged
beisen,tianjushi,天俱时工程科技集团有限公司,天俱时工程科技集团有限公司,unchanged
beisen,tianyupharm,浙江天宇药业股份有限公司,浙江天宇药业股份有限公司,unchanged
beisen,tigermed,杭州泰格医药科技股份有限公司,杭州泰格医药科技股份有限公司,unchanged
beisen,tingchaoge,听潮阁,听潮阁,unchanged
beisen,tjaemc,航空工业津电,航空工业津电,unchanged
beisen,tkgroup,东江北森招聘门户,东江控股,table
beisen,treatgut,招聘门户,承葛医药集团,table
beisen,tsinghua-eiri,清华四川能源互联网研究院,清华四川能源互联网研究院,unchanged
beisen,tsingmicro,清微智能,清微智能,unchanged
beisen,tuniu,途牛旅游网,途牛旅游网,unchanged
beisen,twsc,深圳市德明利技术股份有限公司,深圳市德明利技术股份有限公司,unchanged
beisen,tzcpa,天职国际,天职国际,unchanged
beisen,ubtrobot,优必选科技,优必选科技,unchanged
beisen,ugreen,绿联,绿联,unchanged
beisen,uniconn,壹连招聘门户,壹连科技,table
beisen,unigroup-gt,格创通信（浙江）有限公司,格创通信（浙江）有限公司,unchanged
beisen,unilumin,洲明科技,洲明科技,unchanged
beisen,unisemipower,芯合电子,芯合电子,unchanged
beisen,unitree,宇树科技,宇树科技,unchanged
beisen,unix-group,优理奇,优理奇,unchanged
beisen,urovo,优博讯科技,优博讯科技,unchanged
beisen,vistar,辰显光电,辰显光电,unchanged
beisen,viva,维亚,维亚,unchanged
beisen,vmax,威迈斯,威迈斯,unchanged
beisen,wago,WAGO万可,WAGO万可,unchanged
beisen,warrant,华纳大药厂,华纳大药厂,unchanged
beisen,wasionelectric,wayon energy campus recruitment for 2027,惟远能源,table
beisen,wayeal,皖仪科技人才,皖仪科技人才,unchanged
beisen,weimeizi,薇美姿,薇美姿,unchanged
beisen,wenergy1,安徽省能源集团,安徽省能源集团,unchanged
beisen,whxmc,新芯股份-招聘门户,新芯股份,table
